title,genres,director_cast,average_rating,description,cover_url
七宗罪,剧情|犯罪|悬疑|惊悚,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,8.8,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
唐伯虎点秋香,喜剧|爱情|古装,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,8.8,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg
狩猎,剧情,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...,9.1,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg
幽灵公主,动画|奇幻|冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...,8.9,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2920895053.jpg
甜蜜蜜,剧情|爱情,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,8.9,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg
寄生虫,剧情,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,8.8,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg
天书奇谭,动画|奇幻,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian   主演: 丁建华 Jianhua Din...,9.2,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2700138245.jpg
蝙蝠侠：黑暗骑士崛起,剧情|动作|科幻|犯罪|惊悚,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,8.9,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg
超能陆战队,喜剧|动作|科幻|动画|冒险,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...,8.8,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg
7号房的礼物,剧情|喜剧|家庭,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,8.9,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg
